player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,region,league,zscore
Buld,GN,"['breach', 'sage', 'sova']",496,0.89,177.3,0.91,70.0,115.1,0.62,0.29,0.1,0.1,27.0,10.0,emea,challengers,-4.946791374342446
bzt,CG,"['sova', 'breach', 'fade']",300,0.89,167.2,0.8300000000000001,71.0,117.9,0.5700000000000001,0.31,0.05,0.06,28.0,11.0,emea,challengers,-5.652678363388904
Ale,OF,"['neon', 'raze', 'yoru']",218,0.89,195.2,0.85,64.0,128.5,0.67,0.22,0.17,0.22,20.0,5.0,emea,challengers,-9.803465763951882
ginger,aTTaX,"['cypher', 'killjoy', 'clove']",535,0.89,185.5,0.9500000000000001,64.0,119.9,0.68,0.21,0.06,0.12,20.0,22.0,emea,gc,-6.888563377276343
SUPERPHROG,HERO,"['chamber', 'killjoy', 'cypher']",251,0.88,179.6,0.91,63.0,127.3,0.66,0.14,0.11,0.1,32.0,14.0,emea,gc,-5.295869712829152
Blossi,aTTaX,"['omen', 'astra']",535,0.88,163.6,0.81,68.0,110.3,0.58,0.41000000000000003,0.06,0.1,26.0,11.0,emea,gc,-7.346158194253217
sh1n,KC,"['viper', 'omen', 'kayo']",208,0.88,176.0,0.84,70.0,116.2,0.63,0.35000000000000003,0.09,0.07,26.0,5.0,emea,international,-5.127001504807651
qRaxs,FUT,"['gekko', 'breach', 'sage']",255,0.88,154.6,0.91,72.0,103.3,0.58,0.27,0.04,0.08,28.0,20.0,emea,international,-5.925702321066546
musashi,ACE,"['gekko', 'raze', 'fade']",375,0.87,167.1,0.84,67.0,113.8,0.5700000000000001,0.27,0.09,0.11,27.0,18.0,emea,challengers,-6.898205925858521
w0zzip,FF,"['gekko', 'kayo', 'breach']",235,0.87,169.6,0.85,70.0,111.0,0.58,0.31,0.07,0.08,27.0,17.0,emea,challengers,-5.226148079765985
Gloomy,HOWL,"['viper', 'sova', 'gekko']",381,0.87,158.3,0.79,72.0,105.4,0.53,0.36,0.08,0.12,19.0,5.0,emea,challengers,-10.950017767133746
HearthBeat,SNS,"['omen', 'brimstone', 'viper']",548,0.87,159.5,0.78,69.0,106.5,0.54,0.42,0.06,0.09,27.0,8.0,emea,challengers,-8.174309813269774
Sacake,VLNT,"['sova', 'gekko', 'fade']",503,0.87,170.5,0.78,69.0,112.9,0.5700000000000001,0.32,0.06,0.04,24.0,7.0,emea,challengers,-7.515494285005737
ceNder,VIT,"['omen', 'viper']",611,0.86,160.6,0.81,69.0,102.6,0.58,0.37,0.07,0.15,28.0,8.0,emea,international,-9.559856679418717
Cille,HERO,"['fade', 'sova', 'kayo']",251,0.86,161.9,0.8200000000000001,70.0,102.1,0.59,0.33,0.04,0.06,26.0,17.0,emea,gc,-6.504582740937998
zeddy,KPI,"['brimstone', 'gekko', 'omen']",323,0.86,168.1,0.81,73.0,109.5,0.55,0.39,0.08,0.09,21.0,5.0,emea,challengers,-7.7957925151146625
Boaster,FNC,"['omen', 'viper', 'astra']",604,0.85,150.7,0.8200000000000001,71.0,97.1,0.51,0.39,0.08,0.11,26.0,15.0,emea,international,-8.11429298547716
Prti,DIA,"['fade', 'skye', 'breach']",621,0.85,164.9,0.81,68.0,112.5,0.58,0.35000000000000003,0.05,0.09,28.0,14.0,emea,challengers,-6.860902498690475
Rosé,PCF,"['sova', 'breach', 'kayo']",827,0.85,162.8,0.8200000000000001,67.0,111.1,0.5700000000000001,0.28,0.07,0.1,28.0,25.0,emea,challengers,-6.031932741792334
eNes,SGE,"['clove', 'omen']",206,0.84,169.4,0.75,70.0,110.6,0.58,0.39,0.06,0.06,22.0,13.0,emea,challengers,-6.574716814069725
Zyppan,NAVI,"['raze', 'kayo', 'gekko']",209,0.8300000000000001,200.6,0.85,69.0,132.8,0.68,0.29,0.11,0.16,26.0,6.0,emea,international,-5.043979651862527
Feeqn,OF,"['cypher', 'viper', 'killjoy']",218,0.8300000000000001,173.8,0.78,66.0,117.8,0.6000000000000001,0.18,0.05,0.06,20.0,6.0,emea,challengers,-11.219738838755505
6sonya,O1O,"['sova', 'fade']",235,0.81,151.8,0.77,66.0,106.8,0.55,0.23,0.06,0.07,37.0,14.0,emea,gc,-7.838311354859345
ANGE1,NAVI,"['gekko', 'sova', 'fade']",209,0.8,163.0,0.77,69.0,110.7,0.58,0.28,0.13,0.11,29.0,10.0,emea,international,-7.025755538633048
Bully,NXT,"['omen', 'brimstone', 'cypher']",219,0.8,173.4,0.77,71.0,121.5,0.6000000000000001,0.38,0.08,0.1,25.0,10.0,emea,challengers,-5.547275321519842
Touven,GGO,"['raze', 'sova', 'yoru']",221,0.8,175.3,0.79,65.0,120.8,0.6000000000000001,0.2,0.1,0.19,26.0,11.0,emea,challengers,-11.089832083440633
nixoon,OF,"['omen', 'clove', 'viper']",218,0.79,185.7,0.73,65.0,113.4,0.64,0.37,0.11,0.13,23.0,7.0,emea,challengers,-8.357890467313112
MAGNUM,KC,"['killjoy', 'sova', 'kayo']",208,0.79,161.9,0.73,72.0,109.3,0.54,0.30000000000000004,0.1,0.13,32.0,12.0,emea,international,-7.181048258515991
SouhcNi,SUP,"['skye', 'gekko', 'sova']",259,0.78,157.7,0.73,66.0,105.2,0.5,0.32,0.05,0.12,28.0,14.0,emea,challengers,-11.203860658647192
BennY,CGN,"['gekko', 'phoenix', 'raze']",775,0.78,154.6,0.79,65.0,99.9,0.55,0.23,0.09,0.13,28.0,11.0,emea,challengers,-11.878808388530818
Jesmu,OF,"['sova', 'gekko', 'fade']",218,0.78,165.4,0.73,68.0,112.5,0.5700000000000001,0.30000000000000004,0.09,0.11,19.0,20.0,emea,challengers,-8.693008917101412
Ixela,HOWL.M,"['jett', 'viper', 'gekko']",240,0.77,165.7,0.71,67.0,109.5,0.55,0.39,0.08,0.11,27.0,17.0,emea,gc,-7.465871541044946
tomaszy,KC,"['harbor', 'cypher', 'neon']",208,0.74,157.5,0.73,62.0,106.5,0.55,0.21,0.06,0.1,31.0,4.0,emea,international,-13.404068385980075
beyAz,M8,"['kayo', 'breach', 'fade']",212,0.73,144.9,0.65,69.0,97.1,0.47000000000000003,0.41000000000000003,0.03,0.08,21.0,19.0,emea,international,-11.370697496074275
ANXiOS,SKUL,"['skye', 'omen', 'kayo']",385,0.73,150.9,0.66,69.0,97.8,0.5,0.47000000000000003,0.06,0.09,22.0,9.0,emea,challengers,-10.955571357284871
florescent,SR,"['jett', 'raze', 'reyna']",377,1.38,289.3,1.44,76.0,189.5,1.02,0.2,0.16,0.11,30.0,11.0,amer,gc,17.586840503053754
Spaz,TACO,"['viper', 'omen', 'harbor']",551,1.24,217.4,1.25,80.0,137.2,0.75,0.45,0.09,0.06,20.0,32.0,amer,challengers,11.21303323417957
nabil,RESO,"['killjoy', 'cypher', 'kayo']",264,1.24,240.3,1.31,77.0,155.4,0.86,0.27,0.15,0.05,25.0,21.0,amer,challengers,13.200373676354102
Kaoticcc,SaD,"['jett', 'raze', 'reyna']",726,1.23,288.8,1.33,71.0,180.1,1.01,0.16,0.24,0.16,25.0,16.0,amer,challengers,14.335196121183237
v1c,MxS,"['omen', 'viper']",419,1.22,236.6,1.34,78.0,153.7,0.8300000000000001,0.35000000000000003,0.1,0.08,27.0,9.0,amer,challengers,10.148987775577107
mada,MxS,"['jett', 'neon', 'raze']",253,1.21,241.7,1.25,75.0,155.2,0.8300000000000001,0.22,0.21,0.11,27.0,15.0,amer,challengers,10.32497355645642
dodonut,FLY.R,"['raze', 'sage', 'omen']",544,1.19,235.6,1.22,77.0,154.5,0.8200000000000001,0.32,0.12,0.09,25.0,23.0,amer,gc,10.774581173249285
wippie,,"['killjoy', 'omen', 'cypher']",310,1.18,195.9,1.27,78.0,135.1,0.71,0.33,0.07,0.04,24.0,17.0,amer,challengers,5.787484070026152
Kyu,AMB,"['breach', 'viper', 'sova']",524,1.18,220.3,1.22,77.0,144.6,0.76,0.41000000000000003,0.07,0.05,23.0,17.0,amer,challengers,8.053588127688098
karie,SNG,"['cypher', 'deadlock', 'brimstone']",295,1.17,229.3,1.25,74.0,157.9,0.84,0.23,0.06,0.07,35.0,9.0,amer,gc,7.872349401391531
StarBound,FLY.R,"['viper', 'killjoy', 'deadlock']",377,1.17,217.8,1.29,76.0,140.9,0.77,0.25,0.14,0.08,17.0,12.0,amer,gc,4.68199606870171
curry,SEN,"['breach', 'omen', 'viper']",356,1.15,220.0,1.28,72.0,142.9,0.81,0.27,0.09,0.09,40.0,16.0,amer,challengers,8.757412106976897
Verno,OXG,"['breach', 'gekko', 'sova']",332,1.15,197.6,1.17,77.0,135.4,0.7000000000000001,0.41000000000000003,0.07,0.06,33.0,15.0,amer,challengers,6.770006528838669
brawk,MxS,"['sova', 'fade', 'gekko']",253,1.1400000000000001,214.0,1.15,72.0,143.3,0.76,0.31,0.07,0.04,20.0,3.0,amer,challengers,1.398977245045741
Ali,WU,"['astra', 'clove', 'brimstone']",255,1.13,234.0,1.07,74.0,156.3,0.79,0.37,0.11,0.12,24.0,8.0,amer,challengers,4.899797768045
Shondex,Blue,"['omen', 'viper', 'clove']",653,1.12,207.6,1.17,74.0,138.6,0.77,0.23,0.08,0.08,34.0,12.0,amer,challengers,4.512219696655862
avery,FLOP,"['breach', 'sova', 'fade']",295,1.12,212.4,1.09,78.0,140.6,0.73,0.39,0.07,0.03,28.0,12.0,amer,gc,6.800303957500824
VYX,FCN,"['kayo', 'omen', 'viper']",430,1.12,210.0,1.13,75.0,139.7,0.77,0.38,0.08,0.08,27.0,12.0,amer,challengers,5.02848720178992
Kess,UT,"['sova', 'fade', 'skye']",263,1.12,226.5,1.01,72.0,152.1,0.74,0.38,0.09,0.07,23.0,9.0,amer,challengers,3.578098641460719
Pa1nt,Blue,"['jett', 'neon', 'yoru']",553,1.11,261.4,1.18,69.0,166.1,0.92,0.22,0.24,0.18,27.0,11.0,amer,challengers,8.859741818542059
Neon,AMB,"['jett', 'raze']",213,1.11,224.2,1.15,72.0,140.3,0.78,0.16,0.13,0.15,14.0,18.0,amer,challengers,-0.22341363220063
Jerrwin,LS,"['raze', 'jett', 'chamber']",732,1.11,255.9,1.1400000000000001,70.0,165.0,0.89,0.23,0.21,0.17,22.0,16.0,amer,challengers,7.566936730607423
gMd,TSM,"['omen', 'viper', 'brimstone']",766,1.11,215.9,1.05,76.0,139.7,0.75,0.42,0.08,0.07,29.0,15.0,amer,challengers,6.510519974222966
zekken,SEN,"['raze', 'jett', 'neon']",531,1.11,255.7,1.15,70.0,163.5,0.89,0.24,0.21,0.18,24.0,21.0,amer,international,8.7402503028893
GaryDaSnail,Non-,"['deadlock', 'cypher', 'killjoy']",473,1.11,220.1,1.1,69.0,143.3,0.78,0.2,0.07,0.07,36.0,14.0,amer,challengers,4.00480054713769
koalanoob,M80,"['jett', 'yoru', 'sage']",896,1.11,234.6,1.2,71.0,147.4,0.8200000000000001,0.24,0.2,0.13,23.0,21.0,amer,challengers,7.3711845144260675
bones,FAIM,"['raze', 'neon', 'skye']",324,1.11,229.8,1.15,73.0,153.2,0.8,0.30000000000000004,0.12,0.1,27.0,35.0,amer,challengers,10.559602330755881
mitch,OXG,"['kayo', 'skye', 'breach']",332,1.11,214.5,1.09,78.0,138.0,0.72,0.49,0.11,0.08,28.0,12.0,amer,challengers,7.450571317324359
welyy,Blue,"['sova', 'breach', 'fade']",792,1.1,195.9,1.09,74.0,132.4,0.66,0.36,0.07,0.05,30.0,14.0,amer,challengers,3.249482805114433
zander,M80,"['omen', 'viper', 'brimstone']",896,1.1,217.8,1.13,76.0,137.1,0.77,0.38,0.11,0.1,27.0,20.0,amer,challengers,7.168103478320342
KHS,MORB,"['sova', 'gekko', 'jett']",379,1.1,243.9,1.08,78.0,165.3,0.8,0.35000000000000003,0.15,0.09,25.0,12.0,amer,challengers,9.995124001324271
skuba,OXG,"['omen', 'brimstone', 'sova']",440,1.1,202.6,1.11,75.0,128.4,0.73,0.34,0.08,0.08,31.0,12.0,amer,challengers,3.588888927965368
GLYPH,IL,"['omen', 'gekko', 'viper']",261,1.1,227.7,1.11,76.0,151.9,0.78,0.36,0.1,0.1,22.0,12.0,amer,challengers,5.549252861557397
acrian,VLYN,"['cypher', 'killjoy']",390,1.09,213.4,1.1,75.0,145.4,0.75,0.21,0.06,0.07,27.0,16.0,amer,challengers,3.442185786959866
eeiu,100T,"['fade', 'sova']",318,1.09,188.7,1.07,75.0,127.1,0.67,0.36,0.04,0.03,30.0,14.0,amer,international,2.594876422533228
Bankroft,Tact,"['cypher', 'sage']",344,1.09,216.1,1.1,72.0,139.5,0.74,0.36,0.08,0.06,19.0,10.0,amer,challengers,1.961246211485614
misu,RF.GC,"['sova', 'viper', 'clove']",329,1.09,201.8,1.11,74.0,136.5,0.71,0.31,0.08,0.05,24.0,12.0,amer,gc,2.510396264755744
Papi,NBG,"['breach', 'killjoy', 'gekko']",260,1.09,223.4,1.08,73.0,153.1,0.81,0.34,0.1,0.08,25.0,44.0,amer,challengers,11.617848196878635
TenZ,SEN,"['omen', 'gekko', 'kayo']",531,1.09,210.1,1.07,74.0,137.0,0.73,0.4,0.08,0.1,26.0,6.0,amer,international,1.906984587663794
Wildfire,MU,"['skye', 'breach', 'kayo']",590,1.09,190.3,1.02,73.0,127.7,0.68,0.45,0.05,0.05,34.0,10.0,amer,challengers,2.8472847439449622
Fair,SCC,"['reyna', 'clove', 'jett']",287,1.09,245.5,1.17,70.0,154.4,0.87,0.12,0.22,0.19,30.0,8.0,amer,challengers,4.88927929085247
Timotino,ROSE,"['raze', 'yoru', 'jett']",343,1.08,238.4,1.11,69.0,153.4,0.81,0.22,0.16,0.16,27.0,14.0,amer,challengers,3.9986900593570853
Okeanos,BLIN,"['jett', 'neon', 'raze']",476,1.08,248.1,1.17,74.0,158.4,0.89,0.23,0.19,0.17,28.0,9.0,amer,challengers,7.667814252955575
Barrett,YDZ,"['sova', 'gekko', 'breach']",299,1.08,211.9,1.06,72.0,137.4,0.74,0.29,0.06,0.06,27.0,18.0,amer,challengers,3.157408610115075
renz,MU,"['viper', 'sova', 'fade']",668,1.08,205.7,1.08,72.0,137.2,0.75,0.28,0.09,0.1,27.0,16.0,amer,challengers,2.261921160551642
seven,TSM,"['gekko', 'sova', 'kayo']",766,1.08,211.4,1.06,75.0,139.8,0.73,0.33,0.08,0.11,21.0,21.0,amer,challengers,2.8490765161924623
Teague,TACO,"['clove', 'breach', 'kayo']",551,1.07,197.4,1.05,74.0,126.4,0.7000000000000001,0.46,0.07,0.07,27.0,18.0,amer,challengers,3.838351042325471
corey,DZ,"['neon', 'breach', 'raze']",266,1.07,217.8,1.08,70.0,149.3,0.78,0.21,0.15,0.14,29.0,13.0,amer,challengers,2.883479137472254
terror,oomf,"['sova', 'brimstone', 'deadlock']",209,1.07,228.2,1.01,67.0,148.2,0.78,0.26,0.09,0.11,31.0,15.0,amer,challengers,2.626070253454482
bao,LS,"['brimstone', 'sage', 'yoru']",903,1.07,214.1,1.1,73.0,140.4,0.76,0.29,0.08,0.07,30.0,15.0,amer,challengers,4.68445882112137
melya,Elat,"['viper', 'cypher', 'omen']",429,1.06,206.3,1.03,69.0,136.1,0.73,0.36,0.06,0.06,31.0,12.0,amer,gc,2.249254322939633
scarn,SAD,"['jett', 'raze', 'reyna']",336,1.06,228.4,1.09,69.0,154.2,0.81,0.14,0.17,0.2,26.0,19.0,amer,challengers,2.212806628054935
mikeE,BLIN,"['killjoy', 'chamber', 'cypher']",588,1.06,218.9,1.09,72.0,142.0,0.78,0.21,0.14,0.1,32.0,13.0,amer,challengers,4.6403805871104815
jakee,YFP,"['omen', 'brimstone', 'viper']",727,1.06,208.9,1.05,72.0,135.4,0.75,0.4,0.09,0.09,30.0,14.0,amer,challengers,4.170690038010576
penny,G2,"['jett', 'raze', 'neon']",261,1.06,228.6,1.16,68.0,152.0,0.8200000000000001,0.15,0.17,0.16,23.0,22.0,amer,international,3.621282720921583
Cryocells,100T,"['brimstone', 'jett', 'omen']",318,1.06,226.9,1.16,71.0,139.3,0.8300000000000001,0.2,0.16,0.12,25.0,23.0,amer,international,5.797005044611754
reddi,270.0,"['cypher', 'killjoy', 'omen']",270,1.05,194.6,1.15,75.0,128.8,0.74,0.17,0.06,0.06,35.0,21.0,amer,challengers,12.30655801042532
ion2x,TOR,"['deadlock', 'raze', 'iso']",588,1.05,231.0,1.11,71.0,151.4,0.81,0.28,0.14,0.12,33.0,17.0,amer,challengers,7.407171156781406
jowa,TM,"['fade', 'sova', 'kayo']",423,1.05,201.4,0.98,75.0,132.6,0.6900000000000001,0.39,0.08,0.07,29.0,9.0,amer,challengers,2.22844984404023
Paincakes,FAIM,"['skye', 'deadlock', 'sova']",438,1.05,209.4,1.05,75.0,136.1,0.75,0.33,0.11,0.1,33.0,18.0,amer,challengers,5.864410744370323
Jackk,(+1),"['skye', 'fade', 'sova']",350,1.04,193.3,0.98,69.0,126.4,0.68,0.33,0.07,0.09,33.0,10.0,amer,challengers,-0.9972418876215671
Kazler,RF.GC,"['breach', 'gekko', 'fade']",387,1.04,206.0,1.05,75.0,135.4,0.72,0.31,0.11,0.13,32.0,28.0,amer,gc,5.778872861504295
soleil,(+7),"['jett', 'neon', 'sova']",486,1.04,208.2,0.99,73.0,136.6,0.72,0.35000000000000003,0.08,0.07,27.0,12.0,amer,challengers,2.299638861783293
FireBallOps,0.0,"['deadlock', 'killjoy', 'cypher']",304,1.04,218.2,1.07,67.0,148.5,0.77,0.2,0.1,0.09,36.0,9.0,amer,challengers,2.484110452803166
Notexxd,LS,"['viper', 'omen', 'brimstone']",526,1.04,203.4,1.02,72.0,136.9,0.72,0.36,0.08,0.1,35.0,19.0,amer,challengers,4.39519454385427
Cohburg,SAD,"['astra', 'omen', 'viper']",294,1.04,193.8,1.01,71.0,126.4,0.7000000000000001,0.36,0.07,0.1,29.0,14.0,amer,challengers,0.037341294440188
panini,COL,"['omen', 'brimstone', 'clove']",295,1.04,216.6,1.01,75.0,140.9,0.74,0.33,0.11,0.09,28.0,7.0,amer,gc,3.234086343978285
nightz,ASTA,"['yoru', 'clove', 'reyna']",409,1.04,239.5,1.07,72.0,152.1,0.8300000000000001,0.25,0.16,0.15,36.0,14.0,amer,challengers,7.458286876016089
bang,100T,"['viper', 'omen']",318,1.04,201.1,1.05,73.0,127.7,0.71,0.37,0.07,0.12,32.0,16.0,amer,international,2.087383004450086
JoBa,TAMU,"['killjoy', 'cypher', 'viper']",352,1.03,216.5,1.04,69.0,144.8,0.76,0.2,0.1,0.11,20.0,12.0,amer,challengers,-1.122302525130559
sarahcat,SR,"['breach', 'deadlock', 'sova']",352,1.03,226.2,1.07,71.0,145.4,0.79,0.24,0.14,0.16,31.0,4.0,amer,gc,1.6558809706522881
Logan,Burg,"['sova', 'fade', 'skye']",591,1.03,208.4,0.98,71.0,143.1,0.71,0.34,0.08,0.08,24.0,21.0,amer,challengers,2.565386469972186
neptune,FAIM,"['breach', 'skye']",243,1.03,218.4,1.02,73.0,135.8,0.75,0.48,0.09,0.08,36.0,8.0,amer,challengers,6.241926998813282
Tim,ZMM.B,"['omen', 'viper', 'reyna']",278,1.03,211.5,0.98,77.0,133.0,0.74,0.42,0.1,0.1,21.0,6.0,amer,challengers,1.620437831045711
Nanners,ZMM.B,"['gekko', 'killjoy', 'iso']",634,1.02,205.1,1.02,68.0,136.4,0.72,0.26,0.1,0.09,29.0,14.0,amer,challengers,0.52474273144257
ScrewFace,WU,"['sova', 'iso', 'cypher']",532,1.02,189.5,0.96,69.0,126.1,0.66,0.32,0.1,0.09,28.0,10.0,amer,challengers,-2.078237375857077
leaf,G2,"['killjoy', 'viper']",525,1.02,212.5,1.0,69.0,143.9,0.74,0.23,0.13,0.09,20.0,19.0,amer,international,1.093512120106262
Reduxx,OXG,"['raze', 'jett', 'iso']",421,1.02,223.6,1.06,72.0,144.7,0.77,0.19,0.18,0.18,24.0,9.0,amer,challengers,0.615686994810651
JonahP,G2,"['breach', 'skye', 'viper']",525,1.02,201.2,0.99,70.0,127.3,0.71,0.35000000000000003,0.09,0.09,24.0,21.0,amer,international,0.971400789245464
geeza,MU,"['cypher', 'killjoy', 'iso']",288,1.02,217.4,1.04,69.0,141.7,0.76,0.21,0.12,0.12,27.0,4.0,amer,challengers,-0.8592035602586161
Blahst,ZMM.B,"['omen', 'viper', 'brimstone']",639,1.02,188.4,0.96,70.0,123.2,0.67,0.39,0.06,0.07,27.0,12.0,amer,challengers,-1.335050138668732
Cowpie867,UCI,"['cypher', 'chamber', 'viper']",379,1.02,211.1,1.05,68.0,142.8,0.74,0.18,0.15,0.14,35.0,7.0,amer,challengers,0.628239596373635
tdawgg,QOR,"['sova', 'gekko', 'breach']",264,1.02,172.4,1.01,74.0,116.4,0.63,0.39,0.05,0.07,23.0,44.0,amer,challengers,3.257869760388142
valyn,G2,"['omen', 'brimstone', 'astra']",525,1.01,197.3,1.0,77.0,120.5,0.7000000000000001,0.37,0.08,0.08,22.0,24.0,amer,international,2.688276960915072
ExciteMVP,WVU,"['sova', 'skye']",381,1.01,192.7,0.9400000000000001,74.0,132.1,0.65,0.25,0.07,0.04,25.0,8.0,amer,challengers,-1.588496016974755
Bobovo,IluZ,"['jett', 'reyna', 'yoru']",212,1.01,214.3,0.98,69.0,143.6,0.76,0.22,0.12,0.13,21.0,3.0,amer,challengers,-3.033206701303889
calsushi,TDY,"['gekko', 'sova', 'fade']",230,1.01,205.7,0.9500000000000001,67.0,138.8,0.72,0.22,0.05,0.03,34.0,14.0,amer,gc,0.9316282464861091
NiSMO,M80,"['breach', 'deadlock', 'kayo']",896,1.01,181.7,0.9500000000000001,74.0,120.3,0.63,0.49,0.07,0.06,32.0,10.0,amer,challengers,1.3113680228113571
dynamic,TOR,"['omen', 'brimstone', 'skye']",320,1.01,207.5,1.04,73.0,136.5,0.75,0.31,0.12,0.1,29.0,23.0,amer,challengers,5.172803261309632
tokyo,ROSE,"['killjoy', 'cypher', 'deadlock']",499,1.01,200.7,1.03,67.0,133.5,0.74,0.13,0.1,0.09,40.0,18.0,amer,challengers,1.6930040284576142
Zoestol,Blue,"['omen', 'viper', 'brimstone']",457,1.01,179.6,1.0,75.0,112.8,0.63,0.4,0.08,0.06,24.0,9.0,amer,challengers,-1.5147528563286201
Klamran,ROSE,"['jett', 'raze', 'neon']",345,1.01,220.9,1.0,68.0,147.8,0.77,0.19,0.16,0.14,31.0,35.0,amer,challengers,6.092890347544356
k0rupt,,"['deadlock', 'viper', 'gekko']",428,1.01,200.2,0.9400000000000001,72.0,136.2,0.6900000000000001,0.30000000000000004,0.08,0.07,29.0,18.0,amer,gc,1.752658939310408
Andersin,BTR,"['brimstone', 'omen', 'viper']",459,1.01,210.6,0.99,73.0,138.7,0.73,0.39,0.11,0.09,26.0,14.0,amer,challengers,3.544123710979547
furbsa,SAD,"['iso', 'cypher', 'killjoy']",378,1.01,212.5,1.01,70.0,139.2,0.75,0.21,0.12,0.1,38.0,13.0,amer,challengers,3.373011563974918
NMSRLM,TV,"['harbor', 'clove', 'astra']",299,1.0,200.6,0.9500000000000001,73.0,127.0,0.71,0.37,0.07,0.08,38.0,13.0,amer,challengers,3.169096152805129
Jonaaa6,FAIM,"['cypher', 'viper', 'killjoy']",438,1.0,204.9,1.07,69.0,135.0,0.73,0.18,0.08,0.09,30.0,17.0,amer,challengers,0.46549485802489604
heartless,wows,"['jett', 'raze', 'reyna']",406,1.0,236.7,0.9500000000000001,65.0,157.1,0.8,0.19,0.2,0.17,27.0,7.0,amer,challengers,0.6909202485954301
thief,YFP,"['cypher', 'killjoy', 'brimstone']",261,1.0,194.8,1.03,70.0,126.5,0.7000000000000001,0.24,0.11,0.08,29.0,10.0,amer,challengers,-0.7049724275784081
Lear,THNK,"['sova', 'viper', 'skye']",236,1.0,205.5,0.9500000000000001,72.0,136.6,0.68,0.33,0.07,0.11,19.0,3.0,amer,challengers,-4.07205980836428
evv,FLOP,"['skye', 'sova', 'fade']",377,1.0,188.3,1.0,75.0,126.8,0.67,0.32,0.06,0.06,33.0,19.0,amer,gc,2.732717521584577
Dark3st,SAD,"['deadlock', 'breach', 'kayo']",378,1.0,189.2,0.97,74.0,123.1,0.67,0.39,0.07,0.08,28.0,26.0,amer,challengers,2.724932382154121
Rebo,ROSE,"['astra', 'sova', 'sage']",358,1.0,192.2,0.9500000000000001,70.0,123.9,0.66,0.35000000000000003,0.07,0.08,22.0,17.0,amer,challengers,-2.054755839662525
Asuna,100T,"['raze', 'kayo', 'yoru']",318,0.99,210.3,0.9400000000000001,76.0,134.4,0.7000000000000001,0.43,0.14,0.12,18.0,16.0,amer,international,2.313948935694458
stunna,VZ,"['raze', 'jett', 'clove']",393,0.99,203.6,0.91,71.0,133.6,0.72,0.33,0.11,0.1,27.0,4.0,amer,challengers,-1.177930077029676
edith,YFP,"['raze', 'jett', 'neon']",222,0.99,225.8,1.02,65.0,148.5,0.79,0.21,0.12,0.19,23.0,10.0,amer,gc,-2.742251870639853
johnqt,SEN,"['cypher', 'killjoy', 'deadlock']",531,0.99,167.3,1.0,73.0,110.0,0.61,0.26,0.07,0.06,26.0,16.0,amer,international,-3.429883248933656
stellar,DZ,"['kayo', 'gekko', 'sova']",423,0.99,178.1,0.98,72.0,116.9,0.65,0.34,0.05,0.07,25.0,9.0,amer,challengers,-3.679512224266867
meL,SR,"['omen', 'cypher', 'viper']",352,0.99,200.7,0.96,74.0,128.5,0.66,0.36,0.11,0.09,27.0,16.0,amer,gc,1.728611338663693
Moechilla,STORM,"['sova', 'killjoy', 'deadlock']",340,0.99,174.2,1.03,76.0,118.5,0.64,0.31,0.07,0.08,29.0,8.0,amer,challengers,-1.748201038460823
mili,RF.GC,"['jett', 'raze', 'yoru']",387,0.99,218.6,1.04,73.0,140.0,0.76,0.2,0.14,0.12,29.0,13.0,amer,gc,2.7435017464606872
Ange,MU,"['omen', 'viper', 'brimstone']",548,0.99,201.2,0.92,72.0,131.0,0.68,0.41000000000000003,0.11,0.1,22.0,15.0,amer,challengers,0.327999039487515
alexis,SR,"['harbor', 'breach', 'skye']",302,0.99,175.1,0.93,72.0,112.4,0.61,0.47000000000000003,0.04,0.05,35.0,3.0,amer,gc,-1.9261452821893932
kumi,FOE,"['neon', 'jett', 'raze']",462,0.99,221.1,0.99,70.0,142.4,0.77,0.2,0.18,0.15,26.0,10.0,amer,challengers,0.8245341516053261
roompa,VLYN,"['deadlock', 'fade', 'sova']",360,0.99,200.6,0.99,75.0,130.3,0.71,0.29,0.07,0.11,31.0,15.0,amer,challengers,1.21574098398404
alvinboy,Burg,"['neon', 'jett', 'raze']",566,0.99,217.7,0.99,68.0,144.3,0.76,0.23,0.13,0.15,31.0,22.0,amer,challengers,2.527322795515719
practo,AKM,"['sova', 'killjoy', 'cypher']",358,0.98,197.6,0.9500000000000001,69.0,132.7,0.72,0.24,0.08,0.07,35.0,16.0,amer,challengers,1.16785330402285
smiley,AMB,"['omen', 'kayo', 'breach']",482,0.98,182.1,0.96,76.0,120.0,0.64,0.4,0.09,0.09,32.0,17.0,amer,challengers,1.8877231575426432
satellite,VLYN,"['raze', 'jett']",348,0.98,219.2,1.02,69.0,148.1,0.77,0.17,0.18,0.2,22.0,12.0,amer,challengers,-1.263081614370425
Truth,SCC,"['deadlock', 'cypher', 'neon']",489,0.98,191.3,1.0,67.0,129.6,0.6900000000000001,0.16,0.07,0.09,30.0,11.0,amer,challengers,-3.8222484879027983
sacred,YFP,"['cypher', 'omen', 'reyna']",379,0.98,206.5,0.99,68.0,133.2,0.74,0.26,0.11,0.14,31.0,12.0,amer,challengers,-0.7401322501550991
