player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,region,league,zscore
ianto,RUD,"['gekko', 'viper', 'kayo']",358,1.05,193.6,1.03,74.0,125.9,0.66,0.31,0.07,0.09,25.0,21.0,emea,challengers,0.568798915140028
Padisah,GS,"['viper', 'killjoy', 'cypher']",221,1.05,219.9,1.07,74.0,145.6,0.77,0.22,0.07,0.05,38.0,3.0,emea,challengers,4.507423051009227
Xaline,Huge,"['cypher', 'deadlock', 'killjoy']",298,1.05,209.6,1.05,70.0,143.0,0.73,0.25,0.09,0.11,22.0,9.0,emea,gc,-1.302203411466718
Pa1ze,DIA,"['raze', 'neon', 'jett']",621,1.05,240.4,1.11,69.0,152.4,0.8300000000000001,0.16,0.22,0.19,28.0,13.0,emea,challengers,4.225116279280055
DREAM,VLNT,"['killjoy', 'viper', 'cypher']",522,1.05,202.4,1.12,71.0,135.1,0.71,0.19,0.08,0.06,22.0,19.0,emea,gc,0.658963387211119
al0rante,FKS,"['astra', 'viper', 'cypher']",245,1.05,202.3,1.09,68.0,135.9,0.73,0.17,0.09,0.09,42.0,10.0,emea,challengers,1.805871256408052
elllement,CGN,"['raze', 'jett', 'yoru']",775,1.05,230.6,1.1400000000000001,69.0,152.8,0.8,0.17,0.2,0.15,26.0,21.0,emea,challengers,5.463076217324173
nataNk,M8,"['sage', 'raze', 'gekko']",212,1.05,222.2,1.03,72.0,146.4,0.75,0.28,0.13,0.11,26.0,33.0,emea,international,6.9590275952076155
Smurfette,GX.GC,"['neon', 'jett', 'yoru']",236,1.04,229.1,1.12,69.0,151.4,0.84,0.15,0.19,0.19,28.0,27.0,emea,gc,5.522336650559674
Turko,FF,"['brimstone', 'cypher', 'omen']",235,1.04,195.2,1.04,70.0,126.1,0.7000000000000001,0.27,0.08,0.06,34.0,21.0,emea,challengers,2.707435834623271
RobbieBk,JL,"['sova', 'skye', 'fade']",449,1.04,191.5,1.03,72.0,130.8,0.6900000000000001,0.27,0.06,0.08,34.0,20.0,emea,challengers,1.97442954708756
Fizzy,MOUZ,"['killjoy', 'cypher', 'viper']",634,1.04,211.4,1.12,70.0,138.9,0.77,0.18,0.1,0.09,32.0,11.0,emea,challengers,2.097970117183624
Miyori,GX.GC,"['cypher', 'killjoy', 'chamber']",236,1.04,220.5,1.08,68.0,141.5,0.78,0.21,0.14,0.12,30.0,22.0,emea,gc,4.067397128587372
mikee,JL,"['killjoy', 'viper', 'cypher']",449,1.04,194.0,1.06,74.0,129.3,0.68,0.26,0.06,0.08,26.0,22.0,emea,challengers,1.1239539902063451
Saiz,BAR,"['viper', 'killjoy', 'cypher']",499,1.04,201.0,1.05,68.0,133.3,0.73,0.16,0.1,0.08,38.0,14.0,emea,challengers,1.50253341328387
Anima,HOWL,"['fade', 'kayo', 'breach']",381,1.03,191.2,0.98,75.0,128.3,0.64,0.48,0.06,0.06,23.0,4.0,emea,challengers,-0.5297633937332851
Annie,O1O,"['jett', 'neon', 'raze']",235,1.03,214.4,1.04,70.0,141.9,0.78,0.12,0.19,0.18,35.0,23.0,emea,gc,3.791240764031842
Ticey,SNS,"['raze', 'yoru', 'jett']",617,1.03,232.2,1.07,68.0,150.1,0.81,0.17,0.2,0.19,20.0,18.0,emea,challengers,1.559175990813784
AtaKaptan,FUT,"['omen', 'viper', 'brimstone']",255,1.03,206.0,1.04,71.0,130.7,0.72,0.34,0.09,0.12,28.0,,emea,international,0.9826717905014041
Famsii,GX,"['neon', 'omen', 'raze']",287,1.03,224.8,1.07,73.0,151.4,0.8200000000000001,0.26,0.14,0.14,28.0,,emea,international,5.124365904533558
